Year,Event,Category
1868,University of California founded,Academic
1873,First graduating class,Academic
1878,Doe Library groundbreaking,Construction
1902,Charter Hill Observatory opens,Research
1905,UC Berkeley officially becomes flagship campus,Academic
1908,Greek Theatre constructed,Construction
1910,Sather Gate dedicated,Construction
1911,Doe Memorial Library opens,Construction
1914,Campanile (Sather Tower) completed,Construction
1916,First Rose Bowl appearance,Athletics
1923,Memorial Stadium opened,Construction
1929,Lawrence Berkeley National Laboratory founded,Research
1930,Bancroft Library established,Academic
1942,Manhattan Project contributions begin,Research
1945,First cyclotron Nobel Prize awarded,Research
1950,University of California loyalty oath controversy,Academic
1955,Lawrence Hall of Science established,Research
1960,Mario Savio enrolls,Academic
1962,Sproul Plaza dedicated,Construction
1964,Free Speech Movement,Academic
1969,People's Park protests,Academic
1974,Computer Science department established,Academic
1983,Haas School of Business opens,Academic
1990,Energy Biosciences Institute founded,Research
1994,Berkeley ranked #1 public university,Academic
1998,Wireless Research Center opens,Research
2001,QB3 biotechnology initiative launched,Research
2004,Google co-founders alumni recognized,Academic
2008,Memorial Stadium renovation begins,Construction
2012,MOOC initiative launched on edX,Academic
2016,Berkeley Artificial Intelligence Research lab expands,Research
2019,Nobel Prize in Chemistry to alumnus,Research
2020,Campus transitions to remote learning,Academic
